Number of Threads,Execution Time (seconds)
1,2.5782032012939453
2,2.3354668617248535
3,2.5320029258728027
4,2.3828418254852295
5,2.332357883453369
6,2.324200391769409
7,2.4021382331848145
8,2.598947286605835
